type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
K-12 School,1,153725,61,1,100,44.4,142,566494.6,2441.4,526.5
K-12 School,1,240055,47,1,100,37.6,3265,886399.9,9585.6,700.8
K-12 School,1,34880,88,1,100,93.4,2072.7,288960,0,250.1
K-12 School,1,40860,88,1,100,57.4,6532.2,266240,41025.3,170.2
K-12 School,1,118925,87,1,100,68.4,53134.9,780733.1,8813.1,523.3
K-12 School,1,33660,79,1,100,58,10431.2,211360,421.9,131.3
K-12 School,1,31500,65,1,100,67.8,15095.5,199600,3344.6,135
K-12 School,1,55860,64,1,100,44.7,4385.9,245472,5658.5,185.1
K-12 School,1,116525,21,1,100,75.2,31104.2,1494799.6,17111.4,637.9
K-12 School,1,136025,81,1,100,86.1,2245,698799.9,0,899.4
K-12 School,1,282668,88,1,100,67.5,1089,1153599.8,12150.7,1471.4
K-12 School,1,109300,55,1,100,71.5,52407.5,733399.9,7386.5,494.2
K-12 School,1,160925,98,1,100,95.9,12,885199.9,18368.8,1190
K-12 School,1,114125,57,1,100,43.2,861.5,561199.9,16454.7,384.1
K-12 School,1,114980,27,1,100,63.4,35161.1,1105393.3,8779.8,506.7
K-12 School,1,115125,61,1,100,168.3,451.8,1469599.9,36972.7,1377.3
K-12 School,1,114125,22,1,100,68.7,35753.7,1230399.9,77534.5,549
K-12 School,1,89800,95,1,100,66.5,23944.1,1034433.1,10637.3,428.8
K-12 School,1,107729,91,1,100,50.2,21727,947200,1667.5,389.1
K-12 School,1,40310,92,1,100,44.7,8222.2,280960,10707.3,126
K-12 School,1,115325,66,1,100,44.5,4435,470399.9,4734,388.1
K-12 School,1,84080,119,1,100,43.1,23598.4,366880,4602.5,231.9
K-12 School,1,100925,108,1,100,73,48261.4,550522.4,29187.7,465.6
K-12 School,1,101669,95,1,100,80,47001.6,750618.3,8513.9,530.6
K-12 School,1,124900,88,1,100,65.5,8259.6,605599.9,10620.8,610.7
